No.,選手名,守備,生年月日,年齢,年数,身長,体重,血液型,投打,出身地,年俸(推定),team,year
59,菊池　保則,投手,1989/09/18,25歳,7年,180cm,80kg,O型,右左,茨城,800万円,楽天,2014
60,古川　侑利,投手,1995/09/08,19歳,1年,178cm,80kg,AB型,右右,佐賀,600万円,楽天,2014
61,上園　啓史,投手,1984/06/30,30歳,8年,182cm,84kg,O型,右右,福岡,"1,000万円",楽天,2014
62,相沢　晋,投手,1987/06/03,27歳,1年,172cm,72kg,A型,右左,新潟,720万円,楽天,2014
63,北川　倫太郎,外野手,1993/06/21,21歳,3年,184cm,80kg,B型,右左,大阪,600万円,楽天,2014
64,福山　博之,投手,1989/03/27,25歳,4年,171cm,70kg,B型,右右,島根,900万円,楽天,2014
65,小山　桂司,捕手,1980/11/19,34歳,9年,175cm,85kg,A型,右右,宮城,"2,000万円",楽天,2014
66,西村　弥,内野手,1983/09/08,31歳,9年,177cm,75kg,A型,右両,沖縄,"1,000万円",楽天,2014
67,岩崎　達郎,内野手,1984/12/28,30歳,8年,175cm,75kg,O型,右右,神奈川,"2,000万円",楽天,2014
68,仲澤　広基,内野手,1987/01/22,27歳,6年,181cm,80kg,A型,右右,山梨,600万円,楽天,2014
90,宮川　将,投手,1990/10/19,24歳,2年,184cm,87kg,A型,右右,大阪,900万円,楽天,2014
99,今野　龍太,投手,1995/05/11,19歳,1年,177cm,72kg,AB型,右右,宮城,440万円,楽天,2014
103,井坂　亮平,投手,1984/10/19,30歳,6年,186cm,75kg,A型,右右,茨城,620万円,楽天,2014
129,ミトレ,投手,1981/02/16,33歳,1年,188cm,89kg,不明,右右,アメリカ,240万円,楽天,2014
133,神保　貴宏,外野手,1986/12/09,28歳,3年,174cm,76kg,O型,右右,北海道,240万円,楽天,2014
134,木村　謙吾,投手,1992/04/20,22歳,4年,178cm,90kg,A型,左左,宮城,240万円,楽天,2014
140,有馬　翔,投手,1990/06/05,24歳,6年,174cm,74kg,A型,左左,宮崎,240万円,楽天,2014
0,鉄平,外野手,1982/12/27,32歳,14年,178cm,78kg,AB型,右左,大分,"4,000万円",オリックス,2014
0,丸毛　謙一,外野手,1988/08/02,26歳,4年,183cm,78kg,A型,右右,大阪,550万円,オリックス,2014
1,ベタンコート,内野手,1982/01/31,32歳,1年,178cm,93kg,不明,右右,キューバ,"10,000万円",オリックス,2014
2,原　拓也,内野手,1984/05/18,30歳,8年,175cm,80kg,O型,右左,神奈川,"2,700万円",オリックス,2014
3,安達　了一,内野手,1988/01/07,26歳,3年,178cm,77kg,O型,右右,群馬,"3,200万円",オリックス,2014
4,ヘルマン,内野手,1978/01/26,36歳,3年,175cm,88kg,不明,右右,ドミニカ共和国,"10,000万円",オリックス,2014
5,平野　恵一,内野手,1979/04/07,35歳,13年,169cm,67kg,B型,右左,神奈川,"15,000万円",オリックス,2014
6,高橋　信二,内野手,1978/08/07,36歳,18年,182cm,90kg,A型,右右,岡山,"2,250万円",オリックス,2014
7,糸井　嘉男,外野手,1981/07/31,33歳,11年,187cm,88kg,A型,右左,京都,"25,000万円",オリックス,2014
8,駿太,外野手,1993/03/05,21歳,4年,180cm,80kg,A型,右左,群馬,"1,500万円",オリックス,2014
9,坂口　智隆,外野手,1984/07/07,30歳,12年,180cm,76kg,O型,右左,兵庫,"9,000万円",オリックス,2014
10,谷　佳知,外野手,1973/02/09,41歳,18年,173cm,77kg,O型,右右,大阪,"3,000万円",オリックス,2014
11,松葉　貴大,投手,1990/08/14,24歳,2年,180cm,82kg,B型,左左,兵庫,"1,800万円",オリックス,2014
12,ランズラー,投手,1985/03/30,29歳,1年,193cm,100kg,不明,左左,アメリカ,-,オリックス,2014
13,桑原　謙太朗,投手,1985/10/29,29歳,7年,183cm,85kg,O型,右右,三重,"1,000万円",オリックス,2014
14,吉田　一将,投手,1989/09/24,25歳,1年,191cm,92kg,A型,右左,奈良,"1,500万円",オリックス,2014
15,佐藤　達也,投手,1986/07/26,28歳,3年,178cm,77kg,B型,右右,埼玉,"5,000万円",オリックス,2014
16,平野　佳寿,投手,1984/03/08,30歳,9年,186cm,84kg,O型,右右,京都,"19,000万円",オリックス,2014
17,東野　峻,投手,1986/07/11,28歳,10年,186cm,89kg,AB型,右右,茨城,"4,900万円",オリックス,2014
18,岸田　護,投手,1981/05/10,33歳,9年,180cm,80kg,A型,右右,大阪,"8,000万円",オリックス,2014
19,金子　千尋,投手,1983/11/08,31歳,10年,180cm,77kg,O型,右左,新潟,"20,000万円",オリックス,2014
20,馬原　孝浩,投手,1981/12/08,33歳,11年,181cm,78kg,A型,右右,熊本,"8,500万円",オリックス,2014
21,西　勇輝,投手,1990/11/10,24歳,6年,180cm,80kg,B型,右右,三重,"5,500万円",オリックス,2014
22,伊藤　光,捕手,1989/04/23,25歳,7年,180cm,80kg,B型,右右,愛知,"4,800万円",オリックス,2014
23,伏見　寅威,捕手,1990/05/12,24歳,2年,182cm,86kg,AB型,右右,北海道,"1,200万円",オリックス,2014
24,宮崎　祐樹,外野手,1986/11/29,28歳,4年,178cm,85kg,A型,右右,佐賀,"1,200万円",オリックス,2014
25,竹原　直隆,外野手,1980/04/21,34歳,10年,183cm,93kg,O型,左右,岡山,"1,450万円",オリックス,2014
26,東明　大貴,投手,1989/06/15,25歳,1年,178cm,77kg,O型,右右,岐阜,"1,200万円",オリックス,2014
27,八木　智哉,投手,1983/11/07,31歳,9年,181cm,78kg,O型,左左,神奈川,"1,800万円",オリックス,2014
28,小松　聖,投手,1981/10/29,33歳,8年,180cm,80kg,O型,右右,福島,"3,100万円",オリックス,2014
29,井川　慶,投手,1979/07/13,35歳,12年,186cm,93kg,O型,左左,茨城,"6,000万円",オリックス,2014
30,岩崎　恭平,内野手,1986/04/04,28歳,6年,178cm,73kg,AB型,右左,神奈川,900万円,オリックス,2014
31,佐藤　峻一,投手,1991/01/08,23歳,2年,179cm,71kg,B型,右右,北海道,"1,000万円",オリックス,2014
32,ディクソン,投手,1984/11/03,30歳,2年,195cm,84kg,不明,右右,アメリカ,"6,000万円",オリックス,2014
33,縞田　拓弥,内野手,1987/01/22,27歳,3年,180cm,80kg,O型,右右,福岡,"1,300万円",オリックス,2014
34,中山　慎也,投手,1982/02/22,32歳,9年,182cm,82kg,A型,左左,群馬,"2,800万円",オリックス,2014
35,比嘉　幹貴,投手,1982/12/07,32歳,5年,177cm,77kg,A型,右右,沖縄,"2,800万円",オリックス,2014
36,平井　正史,投手,1975/04/21,39歳,21年,183cm,92kg,O型,右右,愛媛,"2,000万円",オリックス,2014
37,若月　健矢,捕手,1995/10/04,19歳,1年,179cm,85kg,不明,右右,埼玉,600万円,オリックス,2014
38,小島　脩平,内野手,1987/06/05,27歳,3年,177cm,75kg,O型,右左,群馬,800万円,オリックス,2014
39,バトラー,外野手,1986/03/12,28歳,1年,188cm,100kg,不明,右右,アメリカ,"4,100万円",オリックス,2014
40,大山　暁史,投手,1988/10/06,26歳,1年,168cm,69kg,A型,左左,大分,700万円,オリックス,2014
42,ペーニャ,外野手,1982/01/23,32歳,3年,191cm,118kg,不明,右右,ドミニカ共和国,"12,000万円",オリックス,2014
43,伊原　正樹,投手,1986/11/04,28歳,6年,185cm,74kg,B型,左左,兵庫,550万円,オリックス,2014
44,園部　聡,内野手,1995/11/10,19歳,1年,184cm,94kg,O型,右右,福島,550万円,オリックス,2014
45,齋藤　俊雄,捕手,1983/12/23,31歳,10年,180cm,85kg,A型,右右,愛知,"1,600万円",オリックス,2014
46,川端　崇義,外野手,1985/02/04,29歳,3年,176cm,80kg,B型,右右,静岡,"2,300万円",オリックス,2014
47,海田　智行,投手,1987/09/02,27歳,3年,179cm,85kg,B型,左左,広島,"2,200万円",オリックス,2014
48,甲藤　啓介,投手,1983/11/12,31歳,9年,180cm,89kg,O型,右右,高知,"1,500万円",オリックス,2014
49,庄司　龍二,捕手,1987/02/01,27歳,3年,176cm,80kg,AB型,右右,和歌山,600万円,オリックス,2014
50,近藤　一樹,投手,1983/07/08,31歳,13年,183cm,80kg,A型,右右,神奈川,"1,600万円",オリックス,2014
52,榊原　諒,投手,1985/08/04,29歳,6年,176cm,72kg,A型,右右,愛知,550万円,オリックス,2014
53,吉田　雄人,外野手,1995/04/21,19歳,1年,178cm,75kg,B型,右左,北海道,500万円,オリックス,2014
54,堤　裕貴,内野手,1993/09/21,21歳,3年,173cm,74kg,B型,右左,佐賀,550万円,オリックス,2014
55,Ｔ−岡田,外野手,1988/02/09,26歳,9年,186cm,98kg,B型,左左,大阪,"5,500万円",オリックス,2014
56,武田　健吾,外野手,1994/04/18,20歳,2年,183cm,78kg,O型,右右,福岡,550万円,オリックス,2014
57,山田　修義,投手,1991/09/19,23歳,5年,184cm,85kg,B型,左左,福井,650万円,オリックス,2014
58,戸田　亮,投手,1988/09/04,26歳,2年,183cm,80kg,O型,右右,東京,850万円,オリックス,2014
59,塚原　頌平,投手,1992/07/08,22歳,4年,184cm,80kg,O型,右左,茨城,800万円,オリックス,2014
60,前田　祐二,投手,1986/01/10,28歳,5年,180cm,67kg,B型,左左,大阪,"1,800万円",オリックス,2014
61,奥浪　鏡,内野手,1995/08/29,19歳,1年,176cm,95kg,A型,右右,広島,500万円,オリックス,2014
62,山崎　勝己,捕手,1982/08/16,32歳,14年,180cm,83kg,O型,右右,兵庫,"3,400万円",オリックス,2014
63,中村　一生,外野手,1982/04/02,32歳,10年,186cm,85kg,AB型,右右,東京,"1,150万円",オリックス,2014
64,森本　将太,投手,1992/05/25,22歳,2年,174cm,70kg,A型,右右,福井,"1,000万円",オリックス,2014
65,山崎　正貴,投手,1989/05/09,25歳,7年,183cm,75kg,O型,右右,千葉,800万円,オリックス,2014
66,山本　和作,内野手,1986/09/21,28歳,6年,182cm,85kg,AB型,右右,兵庫,"1,200万円",オリックス,2014
67,古川　秀一,投手,1987/07/15,27歳,5年,175cm,80kg,B型,左左,長崎,"1,125万円",オリックス,2014
68,深江　真登,外野手,1987/09/05,27歳,4年,176cm,75kg,A型,右左,神奈川,800万円,オリックス,2014
69,柴田　健斗,投手,1989/02/08,25歳,1年,175cm,83kg,O型,右右,愛知,600万円,オリックス,2014
91,マエストリ,投手,1985/06/01,29歳,3年,183cm,80kg,不明,右右,イタリア,"2,000万円",オリックス,2014
99,西川　拓喜,外野手,1987/08/15,27歳,2年,171cm,68kg,A型,右左,山梨,500万円,オリックス,2014
106,東　弘明,内野手,1992/02/20,22歳,1年,180cm,74kg,不明,右右,滋賀,280万円,オリックス,2014
115,原　大輝,捕手,1988/06/02,26歳,2年,174cm,76kg,A型,右右,広島,330万円,オリックス,2014
1,陽　岱鋼,外野手,1987/01/17,27歳,9年,183cm,87kg,A型,右右,台湾,"18,000万円",日ハム,2014
2,大野　奨太,捕手,1987/01/13,27歳,6年,177cm,79kg,O型,右右,岐阜,"3,600万円",日ハム,2014
4,飯山　裕志,内野手,1979/07/13,35歳,17年,178cm,82kg,B型,右右,鹿児島,"2,100万円",日ハム,2014
5,小谷野　栄一,内野手,1980/10/10,34歳,12年,177cm,94kg,O型,右右,東京,"7,000万円",日ハム,2014
6,中田　翔,内野手,1989/04/22,25歳,7年,183cm,100kg,O型,右右,広島,"15,000万円",日ハム,2014
7,大引　啓次,内野手,1984/06/29,30歳,8年,178cm,84kg,A型,右右,大阪,"7,000万円",日ハム,2014
8,金子　誠,内野手,1975/11/08,39歳,21年,185cm,84kg,B型,右右,千葉,"6,800万円",日ハム,2014
9,中島　卓也,内野手,1991/01/11,23歳,6年,176cm,70kg,A型,右左,福岡,"2,200万円",日ハム,2014
10,赤田　将吾,外野手,1980/09/01,34歳,16年,179cm,87kg,A型,右両,鹿児島,"2,000万円",日ハム,2014
11,大谷　翔平,投手,1994/07/05,20歳,2年,193cm,90kg,B型,右左,岩手,"3,000万円",日ハム,2014
12,松本　剛,内野手,1993/08/11,21歳,3年,181cm,80kg,AB型,右右,埼玉,620万円,日ハム,2014
13,石井　裕也,投手,1981/07/04,33歳,10年,178cm,80kg,B型,左左,神奈川,"4,300万円",日ハム,2014
14,大塚　豊,投手,1987/12/20,27歳,5年,182cm,85kg,A型,右右,東京,740万円,日ハム,2014
15,メンドーサ,投手,1983/10/31,31歳,1年,191cm,111kg,不明,右右,メキシコ,"10,000万円",日ハム,2014
16,乾　真大,投手,1988/12/08,26歳,4年,176cm,80kg,A型,左左,兵庫,"1,300万円",日ハム,2014
17,浦野　博司,投手,1989/07/22,25歳,1年,178cm,70kg,A型,右右,静岡,940万円,日ハム,2014
18,斎藤　佑樹,投手,1988/06/06,26歳,4年,176cm,76kg,A型,右右,群馬,"2,800万円",日ハム,2014
19,増井　浩俊,投手,1984/06/26,30歳,5年,181cm,70kg,A型,右右,静岡,"9,000万円",日ハム,2014
20,クロッタ,投手,1984/09/25,30歳,1年,201cm,107kg,不明,右右,アメリカ,"5,000万円",日ハム,2014
21,武田　久,投手,1978/10/14,36歳,12年,170cm,73kg,B型,右左,徳島,"24,000万円",日ハム,2014
22,藤岡　好明,投手,1985/03/12,29歳,9年,177cm,81kg,O型,右左,大阪,"2,800万円",日ハム,2014
23,渡邉　諒,内野手,1995/04/30,19歳,1年,178cm,80kg,B型,右右,茨城,680万円,日ハム,2014
24,森本　龍弥,内野手,1994/06/12,20歳,2年,185cm,93kg,O型,右右,兵庫,510万円,日ハム,2014
25,宮西　尚生,投手,1985/06/02,29歳,7年,180cm,78kg,O型,左左,兵庫,"14,000万円",日ハム,2014
26,西川　遥輝,内野手,1992/04/16,22歳,4年,179cm,75kg,A型,右左,和歌山,"2,100万円",日ハム,2014
27,中嶋　聡,捕手,1969/03/27,45歳,28年,182cm,82kg,AB型,右右,秋田,"3,200万円",日ハム,2014
28,新垣　勇人,投手,1985/10/21,29歳,2年,183cm,85kg,A型,右右,神奈川,825万円,日ハム,2014
29,木佐貫　洋,投手,1980/05/17,34歳,12年,188cm,84kg,B型,右右,鹿児島,"8,200万円",日ハム,2014
30,鍵谷　陽平,投手,1990/09/23,24歳,2年,177cm,80kg,O型,右右,北海道,"1,600万円",日ハム,2014
31,岡　大海,内野手,1991/07/15,23歳,1年,185cm,83kg,B型,右右,岡山,840万円,日ハム,2014
32,根本　朋久,投手,1986/03/21,28歳,7年,178cm,76kg,AB型,左左,福島,950万円,日ハム,2014
33,矢貫　俊之,投手,1983/12/15,31歳,6年,190cm,93kg,B型,右右,福島,"2,900万円",日ハム,2014
34,吉川　光夫,投手,1988/04/06,26歳,8年,178cm,80kg,O型,左左,福岡,"7,000万円",日ハム,2014
35,榎下　陽大,投手,1988/07/21,26歳,4年,178cm,79kg,O型,右右,鹿児島,830万円,日ハム,2014
36,中村　勝,投手,1991/12/11,23歳,5年,184cm,85kg,A型,右右,埼玉,"1,300万円",日ハム,2014
37,北　篤,外野手,1988/11/26,26歳,8年,182cm,83kg,A型,右左,石川,670万円,日ハム,2014
38,武田　勝,投手,1978/07/10,36歳,9年,176cm,73kg,B型,左左,愛知,"17,000万円",日ハム,2014
39,高梨　裕稔,投手,1991/06/05,23歳,1年,187cm,82kg,B型,右右,千葉,780万円,日ハム,2014
40,金平　将至,投手,1991/03/24,23歳,1年,180cm,86kg,O型,左左,京都,780万円,日ハム,2014
41,稲葉　篤紀,内野手,1972/08/03,42歳,20年,185cm,94kg,O型,左左,愛知,"13,000万円",日ハム,2014
42,アブレイユ,内野手,1979/01/02,35歳,2年,187cm,111kg,不明,右右,キューバ,"6,000万円",日ハム,2014
43,白村　明弘,投手,1991/12/11,23歳,1年,187cm,87kg,B型,右左,岐阜,750万円,日ハム,2014
44,鵜久森　淳志,外野手,1987/02/01,27歳,10年,189cm,92kg,O型,右右,愛媛,"1,000万円",日ハム,2014
45,増渕　竜義,投手,1988/05/03,26歳,8年,186cm,86kg,A型,右右,埼玉,"2,900万円",日ハム,2014
46,ミランダ,内野手,1983/04/25,31歳,1年,184cm,100kg,不明,左左,キューバ,"5,000万円",日ハム,2014
47,森内　壽春,投手,1985/01/02,29歳,3年,180cm,86kg,O型,右右,青森,"1,600万円",日ハム,2014
48,谷元　圭介,投手,1985/01/28,29歳,6年,167cm,72kg,A型,右右,三重,"3,000万円",日ハム,2014
49,石川　慎吾,外野手,1993/04/27,21歳,3年,178cm,77kg,O型,右右,大阪,580万円,日ハム,2014
50,宇佐美　塁大,内野手,1994/10/24,20歳,2年,177cm,79kg,B型,右右,広島,490万円,日ハム,2014
51,村田　和哉,外野手,1985/07/23,29歳,7年,167cm,65kg,B型,右左,千葉,"1,000万円",日ハム,2014
52,佐藤　賢治,外野手,1988/08/26,26歳,8年,181cm,87kg,A型,右左,東京,930万円,日ハム,2014
53,尾崎　匡哉,捕手,1984/06/02,30歳,12年,182cm,83kg,B型,右右,兵庫,740万円,日ハム,2014
54,近藤　健介,捕手,1993/08/09,21歳,3年,173cm,85kg,O型,右左,千葉,720万円,日ハム,2014
55,運天　ジョン・クレイトン,投手,1992/03/27,22歳,5年,181cm,77kg,A型,右右,沖縄,490万円,日ハム,2014
56,市川　友也,捕手,1985/05/09,29歳,5年,176cm,81kg,O型,右右,神奈川,650万円,日ハム,2014
57,屋宜　照悟,投手,1989/03/29,25歳,2年,178cm,84kg,A型,右左,沖縄,840万円,日ハム,2014
58,齊藤　勝,投手,1988/01/06,26歳,4年,187cm,89kg,A型,左左,東京,730万円,日ハム,2014
59,河野　秀数,投手,1987/12/14,27歳,2年,173cm,77kg,B型,右右,京都,"1,500万円",日ハム,2014
60,荒張　裕司,捕手,1989/04/24,25歳,5年,180cm,85kg,O型,右右,大阪,510万円,日ハム,2014
61,杉谷　拳士,内野手,1991/02/04,23歳,6年,173cm,77kg,B型,右両,東京,"1,300万円",日ハム,2014
62,佐藤　祥万,投手,1989/08/18,25歳,7年,172cm,78kg,B型,左左,栃木,770万円,日ハム,2014
63,上沢　直之,投手,1994/02/06,20歳,3年,187cm,88kg,A型,右右,千葉,500万円,日ハム,2014
64,谷口　雄也,外野手,1992/06/01,22歳,4年,182cm,87kg,B型,右左,三重,590万円,日ハム,2014
65,多田野　数人,投手,1980/04/25,34歳,7年,181cm,80kg,O型,右右,東京,"3,000万円",日ハム,2014
66,大嶋　匠,捕手,1990/02/14,24歳,3年,180cm,95kg,A型,右左,群馬,500万円,日ハム,2014
67,岸里　亮佑,外野手,1995/04/03,19歳,1年,180cm,75kg,B型,右左,岩手,450万円,日ハム,2014
68,石川　亮,捕手,1995/07/20,19歳,1年,180cm,83kg,O型,右右,神奈川,450万円,日ハム,2014
70,アンソニー・カーター,投手,1986/04/04,28歳,1年,195cm,98kg,不明,右左,アメリカ,"4,000万円",日ハム,2014
0,荻野　忠寛,投手,1982/04/26,32歳,8年,174cm,72kg,A型,右右,東京,"1,920万円",ロッテ,2014
0,高濱　卓也,内野手,1989/07/06,25歳,7年,184cm,84kg,A型,右左,佐賀,840万円,ロッテ,2014
1,清田　育宏,外野手,1986/02/11,28歳,5年,180cm,85kg,A型,右右,千葉,"3,000万円",ロッテ,2014
2,根元　俊一,内野手,1983/07/08,31歳,9年,177cm,77kg,A型,右左,東京,"5,850万円",ロッテ,2014
3,サブロー,外野手,1976/06/01,38歳,20年,181cm,90kg,B型,右右,岡山,"13,000万円",ロッテ,2014
4,荻野　貴司,外野手,1985/10/21,29歳,5年,172cm,75kg,O型,右右,奈良,"3,000万円",ロッテ,2014
5,伊志嶺　翔大,外野手,1988/05/12,26歳,4年,179cm,79kg,A型,右右,沖縄,"2,800万円",ロッテ,2014
6,井口　資仁,内野手,1974/12/04,40歳,14年,178cm,91kg,O型,右右,東京,"18,000万円",ロッテ,2014
7,鈴木　大地,内野手,1989/08/18,25歳,3年,175cm,79kg,O型,右左,静岡,"4,200万円",ロッテ,2014
8,今江　敏晃,内野手,1983/08/26,31歳,13年,180cm,89kg,B型,右右,京都,"20,000万円",ロッテ,2014
9,福浦　和也,内野手,1975/12/14,39歳,21年,183cm,88kg,B型,左左,千葉,"5,000万円",ロッテ,2014
10,大松　尚逸,内野手,1982/06/16,32歳,10年,184cm,93kg,B型,左左,石川,"4,000万円",ロッテ,2014
11,大嶺　祐太,投手,1988/06/16,26歳,8年,184cm,80kg,A型,右左,沖縄,"1,540万円",ロッテ,2014
12,石川　歩,投手,1988/04/11,26歳,1年,186cm,80kg,A型,右右,富山,"1,500万円",ロッテ,2014
13,中後　悠平,投手,1989/09/17,25歳,3年,182cm,72kg,O型,左左,大阪,"1,320万円",ロッテ,2014
14,大谷　智久,投手,1985/02/14,29歳,5年,176cm,82kg,A型,右右,兵庫,"3,070万円",ロッテ,2014
15,上野　大樹,投手,1986/10/13,28歳,6年,182cm,88kg,B型,右右,東京,"2,520万円",ロッテ,2014
16,涌井　秀章,投手,1986/06/21,28歳,10年,185cm,85kg,A型,右右,千葉,"22,000万円",ロッテ,2014
17,成瀬　善久,投手,1985/10/13,29歳,11年,180cm,87kg,AB型,左左,栃木,"14,400万円",ロッテ,2014
18,藤岡　貴裕,投手,1989/07/17,25歳,3年,183cm,85kg,AB型,左左,群馬,"2,700万円",ロッテ,2014
19,唐川　侑己,投手,1989/07/05,25歳,7年,181cm,80kg,O型,右右,千葉,"6,540万円",ロッテ,2014
20,服部　泰卓,投手,1982/09/10,32歳,7年,173cm,71kg,A型,左左,徳島,"2,300万円",ロッテ,2014
21,内　竜也,投手,1985/07/13,29歳,11年,182cm,87kg,A型,右右,神奈川,"2,500万円",ロッテ,2014
22,里崎　智也,捕手,1976/05/20,38歳,16年,175cm,94kg,A型,右右,徳島,"16,000万円",ロッテ,2014
23,塀内　久雄,内野手,1981/07/07,33歳,15年,180cm,82kg,A型,右左,愛媛,"1,100万円",ロッテ,2014
24,吉田　裕太,捕手,1991/07/21,23歳,1年,183cm,94kg,O型,右右,千葉,"1,300万円",ロッテ,2014
25,金澤　岳,捕手,1984/05/05,30歳,12年,180cm,82kg,O型,右左,栃木,"1,270万円",ロッテ,2014
27,古谷　拓哉,投手,1981/07/14,33歳,9年,180cm,74kg,A型,左左,北海道,"3,000万円",ロッテ,2014
28,松永　昂大,投手,1988/04/16,26歳,2年,175cm,82kg,O型,左左,香川,"3,750万円",ロッテ,2014
29,西野　勇士,投手,1991/03/06,23歳,6年,182cm,82kg,A型,右右,富山,"2,640万円",ロッテ,2014
30,伊藤　義弘,投手,1982/06/02,32歳,7年,177cm,78kg,B型,右右,福岡,"3,800万円",ロッテ,2014
32,ブラゼル,内野手,1980/05/10,34歳,7年,191cm,95kg,不明,右左,アメリカ,"8,600万円",ロッテ,2014
33,南　昌輝,投手,1989/01/18,25歳,4年,182cm,88kg,A型,右右,和歌山,"2,110万円",ロッテ,2014
34,木村　優太,投手,1985/05/21,29歳,6年,190cm,93kg,B型,左左,秋田,930万円,ロッテ,2014
36,川満　寛弥,投手,1991/03/04,23歳,2年,186cm,80kg,AB型,左左,沖縄,"1,170万円",ロッテ,2014
37,三木　亮,内野手,1991/10/25,23歳,1年,175cm,78kg,A型,右右,大阪,"1,200万円",ロッテ,2014
39,川本　良平,捕手,1982/04/28,32歳,10年,178cm,85kg,A型,右右,広島,"2,000万円",ロッテ,2014
40,吉原　正平,投手,1989/09/14,25歳,1年,174cm,75kg,B型,右右,福岡,"1,200万円",ロッテ,2014
41,小林　敦,投手,1986/02/24,28歳,4年,178cm,85kg,B型,右右,静岡,"1,000万円",ロッテ,2014
42,香月　良仁,投手,1984/01/22,30歳,6年,180cm,82kg,A型,右右,福岡,900万円,ロッテ,2014
43,黒沢　翔太,投手,1988/08/05,26歳,4年,181cm,84kg,B型,右右,埼玉,480万円,ロッテ,2014
44,井上　晴哉,内野手,1989/07/03,25歳,1年,180cm,114kg,A型,右右,広島,"1,200万円",ロッテ,2014
45,田村　龍弘,捕手,1994/05/13,20歳,2年,174cm,80kg,A型,右右,大阪,630万円,ロッテ,2014
46,グライシンガー,投手,1975/07/29,39歳,8年,190cm,90kg,不明,右右,アメリカ,"8,600万円",ロッテ,2014
47,クルーズ,内野手,1984/02/10,30歳,1年,183cm,95kg,不明,右右,メキシコ,"7,500万円",ロッテ,2014
48,Ｇ．Ｇ．佐藤,外野手,1978/08/09,36歳,10年,184cm,98kg,AB型,右右,千葉,"1,300万円",ロッテ,2014
49,デスパイネ,外野手,1986/06/17,28歳,1年,175cm,95kg,不明,右右,キューバ,"7,000万円",ロッテ,2014
50,大嶺　翔太,内野手,1991/09/17,23歳,5年,180cm,82kg,A型,右右,沖縄,530万円,ロッテ,2014
51,植松　優友,投手,1989/11/27,25歳,7年,183cm,83kg,A型,左左,大阪,540万円,ロッテ,2014
52,益田　直也,投手,1989/10/25,25歳,3年,177cm,80kg,B型,右右,和歌山,"7,000万円",ロッテ,2014
53,江村　直也,捕手,1992/05/06,22歳,4年,176cm,83kg,B型,右右,広島,980万円,ロッテ,2014
54,藤谷　周平,投手,1987/08/12,27歳,4年,190cm,86kg,O型,右右,東京,450万円,ロッテ,2014
55,神戸　拓光,外野手,1985/02/23,29歳,8年,191cm,98kg,A型,右左,茨城,850万円,ロッテ,2014
56,ハフマン,外野手,1985/04/29,29歳,1年,183cm,98kg,不明,右右,アメリカ,"1,545万円",ロッテ,2014
57,小池　翔大,捕手,1988/06/24,26歳,4年,183cm,86kg,O型,右右,東京,770万円,ロッテ,2014
59,細谷　圭,内野手,1988/01/17,26歳,9年,182cm,84kg,B型,右右,群馬,"1,160万円",ロッテ,2014
60,阿部　和成,投手,1989/05/19,25歳,7年,183cm,80kg,A型,右右,福岡,830万円,ロッテ,2014
61,角中　勝也,外野手,1987/05/25,27歳,8年,180cm,85kg,A型,右左,石川,"5,000万円",ロッテ,2014
63,青松　敬鎔,内野手,1986/12/07,28歳,10年,185cm,83kg,O型,右右,京都,600万円,ロッテ,2014
64,二木　康太,投手,1995/08/01,19歳,1年,187cm,75kg,O型,右右,鹿児島,500万円,ロッテ,2014
65,加藤　翔平,外野手,1991/03/28,23歳,2年,183cm,84kg,AB型,右両,埼玉,"1,100万円",ロッテ,2014
66,岡田　幸文,外野手,1984/07/06,30歳,6年,177cm,70kg,O型,左左,栃木,"4,000万円",ロッテ,2014
68,早坂　圭介,内野手,1984/06/19,30歳,12年,176cm,63kg,O型,右両,神奈川,"1,270万円",ロッテ,2014
69,角　晃多,内野手,1991/01/13,23歳,6年,168cm,74kg,A型,右左,神奈川,440万円,ロッテ,2014
99,カルロス・ロサ,投手,1984/09/21,30歳,4年,183cm,89kg,不明,右右,ドミニカ共和国,"7,600万円",ロッテ,2014
120,金森　敬之,投手,1985/07/24,29歳,10年,183cm,87kg,O型,右右,大阪,400万円,ロッテ,2014
121,岸　敬祐,投手,1987/01/16,27歳,4年,178cm,74kg,AB型,左左,兵庫,400万円,ロッテ,2014
122,肘井　竜蔵,捕手,1995/11/13,19歳,1年,182cm,88kg,A型,右左,兵庫,240万円,ロッテ,2014
0,上本　崇司,内野手,1990/08/22,23歳,1年,170cm,70kg,A型,右右,広島,"1,000万円",広島,2013
0,中東　直己,外野手,1981/10/05,32歳,7年,168cm,75kg,B型,右左,広島,"1,050万円",広島,2013
1,前田　智徳,外野手,1971/06/14,42歳,24年,176cm,80kg,AB型,右左,熊本,"5,600万円",広島,2013
2,東出　輝裕,内野手,1980/08/21,33歳,15年,171cm,73kg,A型,右左,福井,"9,000万円",広島,2013
4,小窪　哲也,内野手,1985/04/12,28歳,6年,175cm,78kg,O型,右右,奈良,"1,500万円",広島,2013
5,栗原　健太,内野手,1982/01/08,31歳,14年,183cm,95kg,O型,右右,山形,"14,000万円",広島,2013
6,梵　英心,内野手,1980/10/11,33歳,8年,173cm,73kg,B型,右右,広島,"7,000万円",広島,2013
7,堂林　翔太,内野手,1991/08/17,22歳,4年,183cm,81kg,A型,右右,愛知,"1,700万円",広島,2013
